Elapsed Sec,Evacuee Count
0.2599999,0
6.939994,0
9.720032,0
11.28007,0
12.44009,0
13.52012,0
14.62014,0
15.70017,0
16.76019,0
18.00022,0
19.18025,0
20.24027,0
21.3003,0
22.40032,0
23.50035,0
24.52037,0
25.54039,0
26.56042,0
27.58044,0
28.54046,0
29.52048,0
30.50051,0
31.44053,0
32.42055,0
33.42057,0
34.4406,0
35.50062,0
36.60065,0
37.72067,0
38.8407,0
39.98072,0
41.16075,0
42.24078,0
43.2608,0
44.30082,0
45.36085,0
46.40087,0
47.5009,0
48.48092,0
49.46094,0
50.52097,0
51.52099,0
52.54101,0
53.66104,0
54.82106,0
55.92109,0
56.98111,0
58.10114,0
59.18116,0
60.18119,0
61.24121,0
62.30124,0
63.46126,0
64.66116,0
65.84097,0
67.00077,0
68.20057,0
69.32038,0
70.44019,0
71.63999,0
72.71981,0
73.73964,0
74.77946,0
75.7793,0
76.77913,0
77.81895,0
78.87878,0
79.9586,0
81.07841,0
82.25821,0
83.37802,0
84.43784,0
85.49767,0
86.55749,0
87.59731,0
88.67713,0
89.73695,0
90.79678,0
91.79661,0
92.85643,0
93.87626,0
94.93608,0
95.95591,0
97.11572,0
98.19553,0
99.29535,0
100.3552,0
101.415,0
102.4748,0
103.4946,0
104.5345,0
105.6143,0
106.6541,0
107.7939,0
108.9337,0
110.0135,0
111.1334,0
112.2332,0
113.393,0
114.4928,0
115.6926,0
116.8124,0
117.9922,0
119.072,0
120.2318,0
121.3516,0
122.4115,0
123.4913,0
124.5511,0
125.6709,0
126.8507,0
127.9705,0
129.2908,0
130.4711,0
131.5313,0
132.5915,0
133.6117,0
134.6319,0
135.6322,0
136.6724,0
137.8526,0
138.9329,0
140.0131,0
141.1133,0
142.2936,0
143.3538,0
144.414,0
145.4543,0
146.5145,0
147.5547,0
148.6149,0
149.7752,0
150.8154,0
151.9156,0
152.9559,0
153.9761,0
155.0963,0
156.2166,0
157.3568,0
158.457,0
159.5973,0
160.7375,0
161.8978,0
163.038,0
164.1983,0
165.2985,0
166.3187,0
167.3989,0
168.4392,0
169.4994,0
170.7197,0
171.9599,0
173.1402,0
174.3004,0
175.5007,0
176.6209,0
177.7812,0
178.9014,0
180.0616,0
181.2019,0
182.3821,0
183.5224,0
184.6026,0
185.7429,0
186.8431,0
187.9633,0
189.0236,0
190.2038,0
191.4041,0
192.5043,0
193.6245,0
194.7248,0
195.825,0
197.0053,0
198.1855,0
199.2858,0
200.386,0
201.5662,0
202.7465,0
203.8667,0
204.987,0
206.1272,0
207.3075,0
208.4277,0
209.628,0
210.8482,0
212.0685,0
213.2087,0
214.329,0
215.4092,0
216.5294,0
217.7297,0
218.8899,0
220.0502,0
221.1904,0
222.3507,0
223.5509,0
224.6712,2
225.7514,3
226.8916,3
227.9919,4
229.2121,4
230.4724,6
231.6127,7
232.8529,10
234.1332,12
235.2934,14
236.5137,14
237.794,14
238.9542,15
240.1945,15
241.4748,15
242.655,15
243.9353,15
245.1555,16
246.2758,16
247.5161,16
248.7363,16
249.7965,16
250.8968,16
251.997,18
253.2173,18
254.5976,18
255.9178,18
257.0373,19
258.2166,20
259.316,21
260.3555,21
261.5948,21
262.9141,21
264.1134,22
265.2328,22
266.3522,22
267.5115,22
268.8508,22
270.2101,22
271.3894,22
272.6087,22
273.6682,22
274.6876,22
275.6671,22
276.6465,22
277.646,22
278.6454,22
279.7048,22
280.8842,22
281.9836,22
283.043,22
284.0824,22
285.1418,22
286.1613,22
287.1807,22
288.2002,22
