Elapsed Sec,Evacuation Rate
0.01999999,0
0.03999998,0
0.05999998,0
0.07999997,0
0.09999996,0
0.12,0
0.14,0
0.16,0
0.1799999,0
0.1999999,0
0.2199999,0
0.2399999,0
0.2599999,0
0.2799999,0
0.2999999,0
0.3199999,0
0.3399999,0
0.3599998,0
0.3799998,0
0.3999998,0
0.4199998,0
0.4399998,0
0.4599997,0
0.4799997,0
0.4999997,0
0.5199997,0
0.5399997,0
0.5599996,0
0.5799996,0.2740385
0.5999996,0.2740385
0.6199996,0.2740385
0.6399996,0.2740385
0.6599995,0.2740385
0.6799995,0.2740385
0.6999995,0.2740385
0.7199995,0.2740385
0.7399995,0.2740385
0.7599995,0.2740385
0.7799994,0.2740385
0.7999994,0.2740385
0.8199994,0.2740385
0.8399994,0.2740385
0.8599994,0.2740385
0.8799993,0.2740385
0.8999993,0.2740385
0.9199993,0.2740385
0.9399993,0.2740385
0.9599993,0.2740385
0.9799992,0.2740385
0.9999992,0.2740385
1.019999,0.2740385
1.039999,0.2740385
1.059999,0.2740385
1.079999,0.2740385
1.099999,0.2740385
1.119999,0.2740385
1.139999,0.2740385
1.159999,0.2740385
1.179999,0.2740385
1.199999,0.2740385
1.219999,0.2740385
1.239999,0.2740385
1.259999,0.2740385
1.279999,0.2740385
1.299999,0.2740385
1.319999,0.2740385
1.339999,0.2740385
1.359999,0.2740385
1.379999,0.2740385
1.399999,0.2740385
1.419999,0.2740385
1.439999,0.2740385
1.459999,0.2740385
1.479999,0.2740385
1.499999,0.2740385
1.519999,0.2740385
1.539999,0.2740385
1.559999,0.2740385
1.579999,0.2740385
1.599999,0.2740385
1.619999,0.2740385
1.639999,0.2740385
1.659999,0.2740385
1.679999,0.2740385
1.699999,0.2740385
1.719999,0.2740385
1.739999,0.2740385
1.759999,0.2740385
1.779999,0.2740385
1.799999,0.2740385
1.819999,0.2740385
1.839998,0.2740385
1.859998,0.2740385
1.879998,0.2740385
1.899998,0.2740385
1.919998,0.2740385
1.939998,0.2740385
1.959998,0.2740385
1.979998,0.2740385
1.999998,0.2740385
2.019998,0.2740385
2.039998,0.2740385
2.059998,0.2740385
2.079998,0.2740385
2.099998,0.2740385
2.119998,0.2740385
2.139998,0.2740385
2.159998,0.2740385
2.179998,0.2740385
2.199998,0.2740385
2.219998,0.2740385
2.239998,0.2740385
2.259998,0.2740385
2.279998,0.2740385
2.299998,0.2740385
2.319998,0.2740385
2.339998,0.2740385
2.359998,0.2740385
2.379998,0.2740385
