Elapsed Sec,Evacuee Count
0.5999996,0
7.259994,0
10.98006,0
13.00011,0
14.38014,0
15.52016,0
16.62019,0
17.66021,0
18.66024,0
19.64026,0
20.54028,0
21.4003,0
22.28032,0
23.14034,0
24.06036,0
24.98038,0
25.8804,0
26.86042,0
27.82045,0
28.76047,0
29.66049,0
30.64051,0
31.72054,0
32.94056,0
34.08059,0
35.16061,0
36.20064,0
37.18066,0
38.18068,0
39.1007,0
40.00072,0
40.90075,0
41.76077,0
42.70079,0
43.60081,0
44.46083,0
45.34085,0
46.26087,0
47.26089,0
48.36092,0
49.34094,0
50.34096,0
51.28098,0
52.241,0
53.16103,0
54.08105,0
55.02107,0
56.02109,0
57.12112,0
58.36115,0
59.66117,0
60.8812,0
62.10123,0
63.18126,0
64.24123,0
65.18108,0
66.10092,0
67.00077,0
67.94061,0
68.94044,0
69.88029,0
70.86012,0
72.01993,0
73.19973,0
74.25955,0
75.37936,0
76.51917,0
77.57899,0
78.59882,0
79.57866,0
80.55849,0
81.57832,0
82.65814,0
83.77795,0
84.93776,0
86.07757,0
87.35735,0
88.49716,0
89.75695,0
90.87676,0
91.91659,0
93.0364,0
94.03623,0
95.01607,0
96.0359,0
96.99574,0
97.95557,0
98.91541,0
99.95524,0
101.0751,0
102.1149,0
103.0947,0
104.0546,0
104.9744,0
105.8942,0
106.9341,0
108.1539,0
109.2537,0
110.5735,0
111.7133,0
112.8731,0
114.0329,0
115.1127,0
116.1725,0
117.2123,0
118.1922,0
119.192,0
120.1319,0
121.0517,0
121.9915,0
122.9114,0
123.8512,0
124.8511,0
125.7909,0
126.7107,0
127.7106,0
128.8107,0
129.9509,0
131.0512,0
132.1114,0
133.3117,0
134.5919,0
135.8122,0
137.0325,0
138.1327,0
139.1929,0
140.2731,0
141.3534,0
142.3736,0
143.3938,0
144.394,0
145.4943,0
146.6745,0
147.8348,0
149.035,0
150.2953,0
151.5556,0
152.6558,0
153.716,0
154.7762,0
156.1765,0
157.4368,0
158.6571,0
159.9173,0
161.1176,0
162.2578,0
163.3581,0
164.3983,0
165.4185,0
166.4387,0
167.459,0
168.4592,0
169.5794,0
170.6596,0
171.6599,0
172.6601,0
173.6203,0
174.6605,0
175.7807,0
176.881,0
178.0012,0
179.1214,0
180.1817,0
181.3219,0
182.4221,0
183.6824,0
185.0227,0
186.303,0
187.5432,0
188.8235,0
